x,y,label
9.457498,52.522995,260
6.9725447,-24.635324,286
21.826733,30.284914,294
-18.209915,-52.599987,282
-19.712294,5.6506243,295
-20.192043,5.7792864,295
10.379096,52.159386,260
52.488167,-2.7701778,280
-38.065525,29.50261,287
3.2911596,43.10267,271
4.707424,43.28497,271
26.853699,-32.62953,299
-20.611555,-18.803532,284
1.2218956,8.176618,277
-15.133799,37.99136,279
30.92943,18.910044,292
3.676227,42.304607,271
23.83388,-17.282993,270
18.723413,27.179712,294
-19.034636,7.056897,295
-25.970686,-7.575068,275
35.527752,-1.7677499,293
-48.09103,-10.172777,289
-7.6655154,-5.7766385,276
10.253435,-42.67807,298
-8.7692,-6.033405,276
6.217143,-19.562437,290
5.344398,-61.355232,258
-34.764828,15.204566,273
3.3612897,42.583633,271
-10.874247,-11.493138,276
22.606977,28.91087,294
30.097666,-33.099754,299
-19.07131,-52.508923,282
12.166386,-45.92275,298
18.906532,25.509922,294
26.068066,-32.963047,299
-0.28170693,1.3877794,278
-32.646854,17.339489,273
-34.38356,14.485186,273
-17.285639,11.464378,295
30.706438,-31.977,299
10.124741,-41.683784,298
2.6580982,7.36807,277
2.5898075,-19.17546,290
-15.624649,37.8592,279
10.551546,-42.708214,298
24.925007,20.05527,292
35.250446,-2.3754542,293
-20.841106,-18.430859,284
24.057041,-17.441942,270
-33.410374,-32.685787,285
-35.073315,-22.54243,272
22.184414,-15.45207,270
36.265984,-1.5020347,293
35.056416,42.53751,291
20.345367,25.78208,294
10.126359,-41.667423,298
-30.746515,-9.660451,275
-2.4868526,15.664656,277
15.32922,3.8636308,283
-47.75307,-10.053427,289
10.045325,53.80165,260
-17.054165,10.354295,295
27.129908,-20.908878,269
46.85309,13.900271,288
1.4825408,44.14158,271
-52.629513,7.447379,274
46.097862,14.91287,288
-43.710228,-2.7360795,289
35.031136,42.046886,291
-18.529211,-48.008232,282
-5.9739194,-24.929747,286
45.32641,15.258164,288
6.349869,-55.664394,258
-18.794956,-52.648464,282
41.484222,15.864348,288
-36.975483,29.326777,287
40.72772,16.071337,288
19.416216,25.337385,294
-52.84326,7.1279655,274
-36.175014,-17.4557,272
-35.102547,-28.83992,285
-5.6814904,-25.720108,286
-48.64695,-9.224432,289
3.59621,43.354076,271
12.889516,-45.4982,298
26.378483,19.443634,292
-0.3926354,2.5400546,278
-25.919495,-7.218969,275
-5.5231385,-25.59525,286
-2.3079631,15.818554,277
-17.989689,42.29587,279
9.615089,52.312912,260
6.2271833,-60.243862,258
35.963017,-1.1268982,293
5.5983043,-19.890924,290
-25.220457,-21.617647,284
23.430302,-17.270508,270
34.956882,41.87648,291
25.318605,20.400383,292
-15.741422,38.04182,279
-19.7142,6.581734,295
11.416412,-42.543316,298
22.240862,30.34929,294
5.064044,42.83526,271
31.133844,-33.67938,299
16.582798,10.633048,283
4.169693,43.96878,271
-17.28995,-48.182854,282
33.756554,38.303284,291
19.512104,26.354225,294
-35.2561,-21.839592,272
36.281982,-2.159396,293
-40.15102,33.88801,287
-39.496098,33.833546,287
1.7106066,7.8318753,277
-6.1967525,-25.735147,286
-18.920183,-52.20449,282
-39.627426,33.100975,287
34.002598,38.363983,291
1.5049926,8.607641,277
-34.941547,-21.290302,272
-51.883747,7.1031036,274
16.221352,10.936207,283
46.666126,-3.2103508,280
21.337885,30.390612,294
-48.62376,-10.047763,289
51.378273,-5.596413,280
25.597084,-33.039085,299
-34.622726,-33.79235,285
-37.575794,30.054148,287
-46.087635,4.0397105,274
11.13656,-46.506985,298
45.566216,15.430122,288
30.709406,19.582644,292
-7.65087,-5.718272,276
52.330173,-4.8719664,280
9.801882,53.566887,260
0.013221657,2.3990684,278
-30.968887,-9.119243,275
6.608823,-24.208263,286
-6.3886743,-24.987484,286
11.778925,-41.831192,298
-48.40058,-8.533178,289
-1.3718641,14.729653,277
-44.934162,-2.8745658,289
22.561985,-15.0577545,270
-18.044775,-47.562126,282
4.699893,-61.623302,258
-17.170797,42.281193,279
30.846825,19.187414,292
35.165054,-2.4024901,293
-0.8339629,1.6188929,278
15.826121,10.494005,283
-39.978836,32.988014,287
19.804827,24.610645,294
-51.49971,7.946731,274
-6.4586687,-25.049067,286
10.914556,-42.1667,298
-48.033962,-8.797285,289
2.3734393,7.484833,277
52.697758,-4.7991977,280
-23.741497,-20.927988,284
-0.67974055,1.2112291,278
9.6167755,52.892586,260
18.854454,26.144909,294
-45.64686,3.2246919,274
-10.9648695,-12.036095,276
40.94621,16.048952,288
-0.6539876,1.3358253,278
22.720034,29.155142,294
4.5993295,43.015057,271
-19.767687,-18.47806,284
2.735369,18.609528,278
-53.12985,6.7480464,274
11.159056,-45.97226,298
30.562033,-20.966084,269
-38.156487,29.80002,287
-26.96547,-7.135911,275
4.086471,18.367239,278
-16.947744,11.236301,295
15.294862,4.210286,283
38.647083,1.6794482,293
6.6197476,-20.150047,290
-51.594414,5.839602,274
26.369045,-21.070114,269
-17.118683,41.39522,279
-16.948523,10.79056,295
26.233828,-21.313416,269
25.933088,18.684631,292
-17.10487,10.087852,295
23.062387,-15.522024,270
51.871223,-4.660826,280
-18.197807,-51.798088,282
40.716396,15.724256,288
-38.082127,30.451334,287
2.5700436,7.3640685,277
-44.50151,-3.6941066,289
-51.40303,6.626447,274
-39.61067,34.113083,287
1.3974774,7.3191133,277
35.76266,42.07941,291
0.091345996,1.6527445,278
-37.37073,29.959867,287
-20.614967,-18.903883,284
-19.057108,6.6616683,295
-18.804699,41.396683,279
-34.332985,-21.682842,272
14.564597,4.608449,283
-24.239273,-21.799953,284
-27.154905,-7.9162145,275
1.6565952,44.602745,271
-37.545628,29.447601,287
2.812573,18.006512,278
6.0048666,-19.987415,290
2.5517538,-18.519718,290
14.981066,5.5507183,283
10.818799,-46.955982,298
31.072681,-21.37287,269
47.24335,14.4850445,288
2.3003564,44.70132,271
5.2846394,-20.423569,290
-35.225662,-22.782497,272
35.060226,41.561028,291
-8.433871,-5.9827757,276
10.21859,53.252636,260
25.868666,19.585802,292
5.6774797,-20.822838,290
2.087211,-18.813438,290
38.692173,0.58271074,293
34.21419,38.631203,291
-18.504745,-47.50958,282
5.48642,-20.574936,290
26.554523,-31.416632,299
41.43199,16.402906,288
-17.842108,41.916523,279
31.315609,19.14028,292
-52.12372,6.555856,274
-16.505838,41.21795,279
-18.368586,-51.96806,282
19.513086,25.713211,294
6.946745,-55.6805,258
-5.841783,-25.039679,286
2.4186823,7.7663784,277
2.1589096,6.9796305,277
-38.36295,30.292803,287
46.816734,14.253585,288
30.700535,-31.759384,299
7.095878,-55.86375,258
-33.189095,18.624413,273
35.784843,42.038002,291
-51.36284,7.183086,274
-17.042044,40.29823,279
12.667904,-46.19734,298
16.706226,10.542108,283
-7.5679994,-6.5377097,276
-5.4788947,-25.36853,286
-9.990504,-12.819334,276
-20.438456,-19.00344,284
9.049551,47.600883,260
-19.679897,6.5322247,295
18.31465,25.912766,294
-17.956587,-52.08682,282
3.6188521,42.573277,271
19.47499,25.055454,294
-40.33225,33.090347,287
-18.529184,41.40631,279
-37.51372,29.324877,287
-7.945485,-6.649692,276
40.83635,16.695541,288
22.364836,-15.039175,270
-18.093561,42.074142,279
25.892391,18.772532,292
31.057924,-21.642448,269
15.611477,11.943902,283
51.079937,-4.04227,280
3.104674,-18.463669,290
-19.69579,-18.903471,284
-18.72706,41.431675,279
40.615498,16.670496,288
-11.595965,-11.590405,276
3.3633056,43.16031,271
52.662025,-4.9739213,280
26.840094,18.67299,292
35.467537,-0.7510693,293
-18.674828,-52.770706,282
-30.259102,-8.976306,275
-8.830317,-6.7306633,276
11.654994,-46.118977,298
34.715797,38.364403,291
10.64009,-42.004795,298
0.61229485,44.87199,271
-24.445581,-22.254618,284
6.8367434,-24.67787,286
34.06128,38.741486,291
-33.343513,17.938078,273
-25.429203,-7.260258,275
38.555176,1.83903,293
4.818796,-61.391205,258
36.1072,-2.2708268,293
30.280815,-32.24584,299
-40.267918,32.80967,287
-19.271948,6.1697965,295
-2.0247345,15.742094,277
-19.34387,-51.829838,282
5.757505,-60.821537,258
14.903605,4.7627707,283
-48.736305,-9.81704,289
51.005947,-4.743885,280
2.1555495,8.378072,277
-32.037617,16.972153,273
-40.214306,33.500267,287
-39.700615,33.072258,287
-17.289078,-48.44427,282
47.413544,-3.4481936,280
-18.650835,-47.709682,282
8.481147,48.800198,260
38.519928,1.162381,293
23.648539,-17.305618,270
35.774406,41.40514,291
51.84338,-3.4558647,280
-24.344336,-20.944471,284
-34.24159,-33.386383,285
31.455101,-32.69511,299
36.32709,-1.5171922,293
-47.7367,-9.21577,289
10.175001,-41.827057,298
-43.89612,-3.359696,289
-10.607467,-12.963962,276
-8.054289,-6.13749,276
11.02463,53.57793,260
34.500206,37.931416,291
-45.339737,3.1436605,274
-32.82932,18.102037,273
6.2428336,-56.313667,258
-31.339848,-9.573114,275
-31.59711,-8.82973,275
-17.794888,-47.64647,282
-33.490776,18.166874,273
-39.332825,33.284332,287
14.901557,5.893067,283
18.795118,24.799652,294
-24.253801,-21.63424,284
1.7074397,8.408655,277
26.337389,-31.768791,299
-18.063786,-52.21558,282
-34.056393,14.843138,273
30.27148,19.333862,292
46.7653,-3.515895,280
-9.323978,-7.585613,276
8.635318,47.8509,260
-11.444861,-11.784213,276
39.172302,1.1180973,293
1.3084922,7.824461,277
2.7485332,18.741123,278
-38.450474,29.927227,287
10.30873,53.915825,260
10.679418,52.59805,260
-48.099426,-10.045879,289
26.976734,-21.222816,269
27.035192,-32.40556,299
-33.48726,18.535467,273
-19.027763,-51.415348,282
25.868805,20.33901,292
35.78298,-0.71059793,293
-44.621822,4.4645834,274
3.5662863,18.387222,278
6.1355233,-24.283743,286
4.6563206,18.624836,278
-23.790964,-21.965542,284
-30.32367,-9.448484,275
-2.3271444,15.214041,277
12.928804,-45.80612,298
2.3089287,-18.404295,290
1.850335,8.436841,277
26.055584,-33.3999,299
22.067701,-15.263014,270
26.488333,18.773596,292
-20.48219,6.429247,295
-31.62413,-8.539813,275
-15.413772,38.415237,279
5.309,-59.571007,258
-17.673227,10.8338585,295
-34.35982,-21.461573,272
-31.975285,17.768564,273
3.052315,18.208893,278
15.919013,10.922056,283
30.297998,-21.654943,269
-1.4187216,15.742659,277
14.35033,4.8852825,283
-17.231869,40.35335,279
5.303617,-60.791603,258
-18.525038,-48.39205,282
30.278461,-22.503477,269
26.244402,-33.128803,299
0.14829959,2.6803007,278
11.377803,53.693626,260
30.944407,-32.82082,299
-33.434666,-32.69321,285
-19.034094,-52.080566,282
21.60937,-15.474831,270
-50.496788,6.667089,274
